,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MXN=X,NQ=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraRenda_Fixa,CarteiraMoeda,CarteiraEquity
147,2000-07-26,,,,,,,,,,,,,,,,,,,,,,
148,2000-07-27,,,,,,,,,,,,,,,,,,,,,,
149,2000-07-28,,,,,,,,,,,,,,,,,,,,,,
150,2000-07-31,,,,,,,,,,,,,,,,,,,,,,
151,2000-08-01,,,,,,,,,,,,,,,,,,,,,,
152,2000-08-02,,,,,,,,,,,,,,,,,,,,,,
153,2000-08-03,,,,,,,,,,,,,,,,,,,,,,
154,2000-08-04,,,,,,,,,,,,,,,,,,,,,,
155,2000-08-07,,,,,,,,,,,,,,,,,,,,,,
156,2000-08-08,,,,,,,,,,,,,,,,,,,,,,
157,2000-08-09,,,,,,,,,,,,,,,,,,,,,,
158,2000-08-10,,,,,,,,,,,,,,,,,,,,,,
159,2000-08-11,,,,,,,,,,,,,,,,,,,,,,
160,2000-08-14,,,,,,,,,,,,,,,,,,,,,,
161,2000-08-15,,,,,,,,,,,,,,,,,,,,,,
162,2000-08-16,,,,,,,,,,,,,,,,,,,,,,
163,2000-08-17,,,,,,,,,,,,,,,,,,,,,,
164,2000-08-18,,,,,,,,,,,,,,,,,,,,,,
165,2000-08-21,,,,,,,,,,,,,,,,,,,,,,
166,2000-08-22,,,,,,,,,,,,,,,,,,,,,,
167,2000-08-23,,,,,,,,,,,,,,,,,,,,,,
168,2000-08-24,,,,,,,,,,,,,,,,,,,,,,
169,2000-08-25,,,,,,,,,,,,,,,,,,,,,,
170,2000-08-28,,,,,,,,,,,,,,,,,,,,,,
171,2000-08-29,,,,,,,,,,,,,,,,,,,,,,
172,2000-08-30,,,,,,,,,,,,,,,,,,,,,,
173,2000-08-31,,,,,,,,,,,,,,,,,,,,,,
174,2000-09-01,,,,,,,,,,,,,,,,,,,,,,
175,2000-09-04,,,,,,,,,,,,,,,,,,,,,,
176,2000-09-05,,,,,,,,,,,,,,,,,,,,,,
177,2000-09-06,,,,,,,,,,,,,,,,,,,,,,
178,2000-09-07,,,,,,,,,,,,,,,,,,,,,,
179,2000-09-08,,,,,,,,,,,,,,,,,,,,,,
180,2000-09-11,,,,,,,,,,,,,,,,,,,,,,
181,2000-09-12,,,,,,,,,,,,,,,,,,,,,,
182,2000-09-13,,,,,,,,,,,,,,,,,,,,,,
183,2000-09-14,,,,,,,,,,,,,,,,,,,,,,
184,2000-09-15,,,,,,,,,,,,,,,,,,,,,,
185,2000-09-18,,,,,,,,,,,,,,,,,,,,,,
186,2000-09-19,,,,,,,,,,,,,,,,,,,,,,
187,2000-09-20,,,,,,,,,,,,,,,,,,,,,,
188,2000-09-21,,,,,,,,,,,,,,,,,,,,,,
189,2000-09-22,,,,,,,,,,,,,,,,,,,,,,
190,2000-09-25,,,,,,,,,,,,,,,,,,,,,,
191,2000-09-26,,,,,,,,,,,,,,,,,,,,,,
192,2000-09-27,,,,,,,,,,,,,,,,,,,,,,
193,2000-09-28,,,,,,,,,,,,,,,,,,,,,,
194,2000-09-29,,,,,,,,,,,,,,,,,,,,,,
195,2000-10-02,,,,,,,,,,,,,,,,,,,,,,
196,2000-10-03,,,,,,,,,,,,,,,,,,,,,,
197,2000-10-04,,,,,,,,,,,,,,,,,,,,,,
198,2000-10-05,,,,,,,,,,,,,,,,,,,,,,
199,2000-10-06,,,,,,,,,,,,,,,,,,,,,,
200,2000-10-09,,,,,,,,,,,,,,,,,,,,,,
201,2000-10-10,,,,,,,,,,,,,,,,,,,,,,
202,2000-10-11,,,,,,,,,,,,,,,,,,,,,,
203,2000-10-12,,,,,,,,,,,,,,,,,,,,,,
204,2000-10-13,,,,,,,,,,,,,,,,,,,,,,
205,2000-10-16,,,,,,,,,,,,,,,,,,,,,,
206,2000-10-17,,,,,,,,,,,,,,,,,,,,,,
207,2000-10-18,,,,,,,,,,,,,,,,,,,,,,
208,2000-10-19,,,,,,,,,,,,,,,,,,,,,,
209,2000-10-20,,,,,,,,,,,,,,,,,,,,,,
210,2000-10-23,,,,,,,,,,,,,,,,,,,,,,
211,2000-10-24,,,,,,,,,,,,,,,,,,,,,,
212,2000-10-25,,,,,,,,,,,,,,,,,,,,,,
213,2000-10-26,,,,,,,,,,,,,,,,,,,,,,
214,2000-10-27,,,,,,,,,,,,,,,,,,,,,,
215,2000-10-30,,,,,,,,,,,,,,,,,,,,,,
216,2000-10-31,,,,,,,,,,,,,,,,,,,,,,
217,2000-11-01,,,,,,,,,,,,,,,,,,,,,,
218,2000-11-02,,,,,,,,,,,,,,,,,,,,,,
219,2000-11-03,,,,,,,,,,,,,,,,,,,,,,
220,2000-11-06,,,,,,,,,,,,,,,,,,,,,,
221,2000-11-07,,,,,,,,,,,,,,,,,,,,,,
222,2000-11-08,,,,,,,,,,,,,,,,,,,,,,
223,2000-11-09,,,,,,,,,,,,,,,,,,,,,,
224,2000-11-10,,,,,,,,,,,,,,,,,,,,,,
225,2000-11-13,,,,,,,,,,,,,,,,,,,,,,
226,2000-11-14,,,,,,,,,,,,,,,,,,,,,,
227,2000-11-15,,,,,,,,,,,,,,,,,,,,,,
228,2000-11-16,,,,,,,,,,,,,,,,,,,,,,
229,2000-11-17,,,,,,,,,,,,,,,,,,,,,,
230,2000-11-20,,,,,,,,,,,,,,,,,,,,,,
231,2000-11-21,,,,,,,,,,,,,,,,,,,,,,
232,2000-11-22,,,,,,,,,,,,,,,,,,,,,,
233,2000-11-23,,,,,,,,,,,,,,,,,,,,,,
234,2000-11-24,,,,,,,,,,,,,,,,,,,,,,
235,2000-11-27,,,,,,,,,,,,,,,,,,,,,,
236,2000-11-28,,,,,,,,,,,,,,,,,,,,,,
237,2000-11-29,,,,,,,,,,,,,,,,,,,,,,
238,2000-11-30,,,,,,,,,,,,,,,,,,,,,,
239,2000-12-01,,,,,,,,,,,,,,,,,,,,,,
240,2000-12-04,,,,,,,,,,,,,,,,,,,,,,
241,2000-12-05,,,,,,,,,,,,,,,,,,,,,,
242,2000-12-06,,,,,,,,,,,,,,,,,,,,,,
243,2000-12-07,,,,,,,,,,,,,,,,,,,,,,
244,2000-12-08,,,,,,,,,,,,,,,,,,,,,,
245,2000-12-11,,,,,,,,,,,,,,,,,,,,,,
246,2000-12-12,,,,,,,,,,,,,,,,,,,,,,
247,2000-12-13,,,,,,,,,,,,,,,,,,,,,,
248,2000-12-14,,,,,,,,,,,,,,,,,,,,,,
249,2000-12-15,,,,,,,,,,,,,,,,,,,,,,
250,2000-12-18,,,,,,,,,,,,,,,,,,,,,,
251,2000-12-19,,,,,,,,,,,,,,,,,,,,,,
252,2000-12-20,,,,-0.0033505498421252,,,,,-0.0138303433705659,,,,,,,,,,,,,
253,2000-12-21,,,,-0.0116037941530394,,,,,0.011979746180876,,,,,,,,,,,,,
254,2000-12-22,,,,-0.0128187609203426,,,,,0.0037820798894555,,,,,,,,,,,,,
255,2000-12-25,,,,0.0,,,,,0.0123779194046268,,,,,,,,,,,,,
256,2000-12-26,,,,0.00081811631522,,,,,0.009149330413042,,,,,,,,,,,,,
257,2000-12-27,,,,0.0018988168250449,,,,,0.0057142232492772,,,,,,,,,,,,,
258,2000-12-28,,,,-0.0137089952889154,,,,,-0.0036795155814914,,,,,,,,,,,,,
