,Date,ES=F,GC=F,NQ=F,RTY=F,YM=F,AverageEquity
127,2001-03-06,-0.0006672041002861,0.0044155371930093,2.5936330531140026e-05,,,
128,2001-03-07,-1.852592084305005e-05,-0.0115655123849778,-0.000375184302132,,,
129,2001-03-08,-0.0025706282871276,0.0152957318428979,-0.0012839461278598,,,
130,2001-03-09,0.0042922772049177,-0.0022466506622276,-0.0012231759240933,,,
131,2001-03-12,0.0014458620427425,-0.0136056088242687,0.0008861509604057,,,
132,2001-03-13,0.0023379882436278,-0.0124013869205385,-0.0002980226934836,,,
133,2001-03-14,0.0003349523956836,-0.0072271697406232,-0.0006427849703509,,,
134,2001-03-15,-0.0001178124740257,0.0054993496644023,-0.00025772775515,,,
135,2001-03-16,-0.000838037168964,0.0048766152871868,0.0009018150716423,,,
136,2001-03-19,0.0022411316718595,0.0020003928010058,-0.001251382901695,,,
137,2001-03-20,0.0016083970396582,0.0039764126571592,-1.0461370243718283e-05,,,
138,2001-03-21,0.0011286222010065,-0.0022821773404615,0.0008334463194165,,,
139,2001-03-22,-0.0027217178805609,0.0011392093314011,-0.0001381592242756,,,
140,2001-03-23,-0.0010402241879664,0.0011387337113803,-0.000357225344969,,,
141,2001-03-26,-0.0017791875582879,-0.0025759730680361,0.0005372108928596,,,
142,2001-03-27,0.0023739033605892,-0.0037466820244694,-0.0015282055484196,,,
143,2001-03-28,-0.0001562033754485,0.0026053080667195,-0.0003256026263272,,,
144,2001-03-29,0.0009612711389671,0.0026144987003936,8.604469336579028e-05,,,
145,2001-03-30,-0.0019084946006432,0.0067476659663146,-0.0008004596295685,,,
146,2001-04-02,-0.0033660032304516,0.0035071677354196,-0.0013665933106319,,,
147,2001-04-03,-0.0003241640267876,0.0046381048930021,-0.0003167065624033,,,
148,2001-04-04,0.00329291305037,0.000870858665606,0.0015233800369426,,,
149,2001-04-05,0.0011397579000263,0.0054723498749471,-0.0005542182691747,,,
150,2001-04-06,-0.000754072306685,-0.0049391086055917,0.0003696523146315,,,
151,2001-04-09,0.0016496299482792,-0.0029132211206279,-0.0011810340951394,,,
152,2001-04-10,-9.474000443521584e-05,0.0040534545011961,0.0004843152155994,,,
153,2001-04-11,-0.0014134725190274,0.0040343301917882,0.0007092885480334,,,
154,2001-04-12,0.0007710267564057,0.0091080088815455,-0.0010683653102062,,,
155,2001-04-16,0.0010021337740403,0.0063136470932553,0.0004534154347653,,,
156,2001-04-17,0.003614766114745,-0.0005712874338056,0.0015439717767057,,,
157,2001-04-18,0.0008810150086084,-0.0112346923337679,0.0009931259419178,,,
158,2001-04-19,-0.000509051534649,0.0014102847623925,0.0,,,
159,2001-04-20,-0.0018272035430305,-0.0030985829431031,0.0012488269059471,,,
160,2001-04-23,0.000686723753388,0.0011270045856896,-0.0002647705458127,,,
161,2001-04-24,0.0011025848454629,0.0048233136832168,0.0003053335993163,,,
162,2001-04-25,-0.0006007765556374,0.0056424060045866,-0.0004763559001332,,,
163,2001-04-26,0.0012184849452115,0.0014122341765654,0.00045483353501,,,
164,2001-04-27,0.0002620684752945,0.000281976967254,0.0003945372187651,,,
165,2001-04-30,0.0012383151853818,0.0011280609305023,-0.0006332720781707,,,
166,2001-05-01,-8.623781403537159e-05,-0.0028167292041623,0.0003005143328082,,,
167,2001-05-02,0.0011691617237933,0.0025313456087483,0.0007950385174949,,,
168,2001-05-03,-0.0012756636686235,-0.000563284627573,0.0004806251102645,,,
169,2001-05-04,-0.0006416729303544,0.0,-0.0003336975207851,,,
170,2001-05-07,0.0,0.0028364579448326,0.0003444121344916,,,
171,2001-05-08,0.0004002279705575,0.0136839798161137,-0.0006009891727363,,,
172,2001-05-09,0.0002609591291247,0.0025234810359165,-0.0003085384959317,,,
173,2001-05-10,0.0006847099930218,-0.0033549147748435,-7.397603999555962e-05,,,
174,2001-05-11,-1.758554146092115e-05,0.0011176098509178,-0.0002489324814341,,,
175,2001-05-14,0.0003853393788815,-0.0005593333569183,8.898470626542363e-05,,,
176,2001-05-15,-0.0021253682337236,0.0107722955028497,0.0007145312437199,,,
177,2001-05-16,0.0002054932257797,-0.0044038614446497,0.0002529435532707,,,
178,2001-05-17,-0.0002887784473202,-0.0359679419387288,7.503383966112225e-05,,,
179,2001-05-18,0.0012749296153204,0.0052464184024576,0.0009831330313622,,,
180,2001-05-21,-0.0001514974349486,-0.0007680715885644,-2.9279285728603902e-05,,,
181,2001-05-22,0.001486379977897,0.0038559560922029,-0.0007898537295232,,,
182,2001-05-23,-0.0002560938497411,0.0117796599876149,0.0003849154728428,,,
183,2001-05-24,0.0010337642157986,0.003154008260555,-0.000299820433629,,,
184,2001-05-25,0.0007660761232614,-0.0108691927908093,-0.0010327026534412,,,
185,2001-05-29,0.0012704887721603,-0.0221356474952102,-0.0006814584969724,,,
186,2001-05-30,-0.0002814531171181,-0.0010889232959418,0.0001235601626842,,,
187,2001-05-31,0.0007314987669761,-0.0029428072382906,0.0004890383152565,,,
188,2001-06-01,0.0002956171817624,0.0040435601526489,-8.829857374566918e-05,,,
189,2001-06-04,0.0010483607381555,-0.0021513887819058,0.0007213332149735,,,
190,2001-06-05,-0.0007640374076448,0.0,-0.0001349407388265,,,
191,2001-06-06,0.0002422043739434,0.0008066002265731,0.0004207626757842,,,
192,2001-06-07,0.0005746667207069,-0.0194117110418679,-0.0004831488567378,,,
193,2001-06-08,0.0009522838175466,0.0147556458197087,-0.0004830312961097,,,
194,2001-06-11,0.0001060143847476,0.0094184659044834,-7.933890408506744e-05,,,
195,2001-06-12,0.0008378508590313,0.0012953710175385,-0.0005144558940708,,,
196,2001-06-13,-0.0019727571146467,0.0084114278256001,-0.0009777900119365,,,
197,2001-06-14,0.0005513264771568,-0.010627477945656,-0.0001488913012521,,,
198,2001-06-15,-0.0009239175727932,0.0030855642761603,0.0002475804204519,,,
199,2001-06-18,0.0003071878133118,-0.0025488332646842,6.609957307427844e-05,,,
200,2001-06-19,0.0003598007829239,0.0025593416717828,0.0003785604648731,,,
201,2001-06-20,0.0009625610239193,-0.0005119498401152,0.0002315440107514,,,
202,2001-06-21,-0.0005749809649921,0.0007694096455813,-4.449382661474179e-05,,,
203,2001-06-22,0.0008338497772477,-0.0035805174661411,3.952437271273277e-05,,,
204,2001-06-25,-0.0002000075255598,-0.0063495762691155,-8.379711753244162e-05,,,
205,2001-06-26,-0.0001274528741255,0.010570747814389,-6.400867038736147e-05,,,
206,2001-06-27,-0.0005980518133485,0.0072790710132335,0.0002625058235369,,,
207,2001-06-28,-0.0007564541950306,0.0033461669658971,0.000529308713417,,,
208,2001-06-29,-0.0005908505214815,0.0030944391263972,-0.0001191231293486,,,
209,2001-07-02,-5.375533993866861e-05,0.0046740450414043,-2.854438672857967e-05,,,
210,2001-07-03,-0.0016807353898949,-0.0065559850724336,0.0008758601669948,,,
211,2001-07-05,-0.0021570560016107,0.0020901284930836,-0.0007807646886246,,,
212,2001-07-06,0.0005390999266223,0.0015609477275537,0.0001709872913029,,,
213,2001-07-09,-0.0010677404973019,-0.0007822706181938,0.0006662450950347,,,
214,2001-07-10,9.385185771465938e-05,-0.0054419146432164,0.0002337319671289,,,
215,2001-07-11,0.0021237969411925,0.0044431129907171,-0.0010159573182537,,,
216,2001-07-12,0.0007822707627317,-0.0013027080886728,4.001429275684276e-05,,,
217,2001-07-13,0.0010631660441579,0.0005212435063469,-0.0005772943249642,,,
218,2001-07-16,0.0007273020826562,-0.0031188917859662,0.0003891418295736,,,
219,2001-07-17,0.0006220517818547,-0.0059409815086203,-0.0006714893581822,,,
220,2001-07-18,-0.0007980154772573,-0.0025937903811532,0.0004203176444373,,,
221,2001-07-19,0.0006029835899576,0.0012923373622046,-0.0004035525267073,,,
222,2001-07-20,0.0016946166707726,0.0028571662142486,-0.0004739160516824,,,
223,2001-07-23,0.0010178638935082,-0.0023341037569361,0.0001851810959636,,,
224,2001-07-24,-0.0009667585177659,-0.0052288193157126,-0.0001137114797694,,,
225,2001-07-25,-0.0010103230833719,-0.0039477253918644,0.0002513757263199,,,
